versions	packageCount	classCount	elegance	singleClassPackages	maximumClassConcentration	dependencyCount	cbo	aff	eff	mq	evm	lcom5
jedit-2.3.2	2	23	0.0	1	22	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.3	2	23	0.0	1	22	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.4	2	23	0.0	1	22	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.5	2	23	0.0	1	22	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.6	2	23	0.0	1	22	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.7	2	23	0.0	1	22	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.3.f	2	23	0.0	1	22	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.4.1	2	23	0.0	1	22	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.4.2	2	23	0.0	1	22	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.4.f	2	23	0.0	1	22	52	0.5	0.5	1.0	0.9803921568627451	-159	0.8917748917748918
jedit-2.5.1	2	29	0.0	1	28	64	0.5	0.5	1.0	0.9841269841269841	-288	0.917989417989418
jedit-2.5.f	2	29	0.0	1	28	64	0.5	0.5	1.0	0.9841269841269841	-288	0.917989417989418
jedit-2.6.f	2	28	0.0	1	27	64	1.0	4.5	1.5	0.9152542372881356	-279	0.9230769230769231
jedit-3.0.0	14	415	26.329253537400838	0	82	1952	3.5	23.928571428571427	17.642857142857142	7.535186726082688	-8818	0.8476267912529659
jedit-3.0.1	14	417	26.57651640997736	0	83	1962	3.5	24.071428571428573	17.714285714285715	7.476485052374461	-8958	0.8476757398010485
jedit-3.0.2	14	417	26.57651640997736	0	83	1962	3.5	24.071428571428573	17.714285714285715	7.476485052374461	-8958	0.8476757398010485
jedit-3.1.0	14	440	28.281024142180787	0	84	2035	3.5714285714285716	25.285714285714285	18.285714285714285	7.29887371160879	-10229	0.8510624303631215
jedit-3.2.0	16	508	31.039289618159756	1	108	2420	3.625	26.625	18.75	7.8220108633837855	-13054	0.8569406465625493
jedit-3.2.1	16	508	31.039289618159756	1	108	2422	3.625	26.625	18.75	7.823762331172531	-13050	0.8569178623292387
jedit-3.2.2	16	508	31.039289618159756	1	108	2425	3.625	26.6875	18.75	7.823216021826765	-13050	0.8568942345024797
jedit-4.0.0	19	606	35.78281671835197	2	143	2899	4.0	28.63157894736842	19.263157894736842	8.63406203180141	-18711	0.8519748051804502
jedit-4.0.2	19	606	35.78281671835197	2	143	2899	4.0	28.63157894736842	19.263157894736842	8.63406203180141	-18711	0.8519748051804502
jedit-4.0.3	19	606	35.78281671835197	2	143	2899	4.0	28.63157894736842	19.263157894736842	8.63406203180141	-18711	0.8519748051804502
jedit-4.1.0	20	644	35.35194478384463	2	145	3197	4.4	30.15	19.6	9.2895242961077	-19476	0.8623131065905972
jedit-4.2.0	23	805	39.15187818250092	2	156	4151	4.565217391304348	33.0	21.434782608695652	10.825774559188073	-27315	0.8568755812440643
jedit-4.3.0	29	1132	47.55358702059777	2	213	5891	5.275862068965517	40.51724137931034	24.17241379310345	13.387281741893695	-48869	0.8502371380806649
jedit-4.3.1	29	1132	47.55358702059777	2	213	5892	5.275862068965517	40.51724137931034	24.17241379310345	13.382457968217462	-48869	0.8502371380806649
jedit-4.3.2	29	1132	47.55358702059777	2	213	5888	5.275862068965517	40.48275862068966	24.20689655172414	13.3795577326799	-48869	0.8502861288703966
jedit-4.3.3	29	1132	47.55358702059777	2	213	5888	5.275862068965517	40.48275862068966	24.20689655172414	13.3795577326799	-48869	0.8502861288703966
jedit-4.4.1	29	1193	51.14598722786066	2	237	6159	5.551724137931035	42.827586206896555	25.551724137931036	13.82118983446057	-56197	0.8570418968663159
jedit-4.4.2	29	1194	51.1657677624926	2	237	6167	5.620689655172414	42.89655172413793	25.655172413793103	13.80782603633427	-56263	0.8570802495684775
jedit-4.5.0	30	1216	50.92395201561725	2	238	6299	5.6	42.4	25.7	14.372417848719094	-57161	0.8547011856753032
jedit-4.5.1	30	1218	50.97162609400122	2	238	6305	5.6	42.43333333333333	25.7	14.374013559890113	-57308	0.8547579647358418
jedit-4.5.2	30	1220	51.09359603272758	2	239	6315	5.6	42.46666666666667	25.733333333333334	14.384574579601203	-57565	0.854790743174439
jedit-5.0.0	34	1267	50.66226628284107	3	242	6497	5.4411764705882355	38.6764705882353	24.029411764705884	15.281158395875702	-60701	0.8540380437790047
jedit-5.1.0	35	1266	49.54391167109708	2	237	6519	5.485714285714286	37.74285714285714	23.6	16.137756864922963	-59295	0.8328553658692612
jedit-5.2.0	35	1277	50.345873105702616	2	242	6586	5.6	38.142857142857146	24.2	15.979095082424562	-61057	0.8356857499925511
jedit-5.3.0	35	1289	51.087871478902876	2	246	6710	5.8	39.371428571428574	24.742857142857144	15.910086821732225	-62730	0.8337865461013702
jedit-5.4.0	35	1355	52.024484031804775	2	253	7015	6.0285714285714285	41.94285714285714	25.8	16.1535206102747	-66636	0.8410560591855737
jedit-5.5.0	35	1366	52.32616702092788	2	254	7074	6.0285714285714285	42.142857142857146	25.857142857142858	16.172890725541908	-67543	0.8411801710414845
jhotdraw-5.2.0	11	191	15.340218839690223	0	55	997	4.0	25.636363636363637	24.181818181818183	2.737007480189439	-2427	0.8344931371127543
jhotdraw-5.3.0	11	273	25.657953513723513	0	91	1548	4.181818181818182	39.54545454545455	31.363636363636363	2.651722189950803	-6178	0.844897576154344
jhotdraw-5.4.1	17	391	27.222395624364356	1	99	2086	4.176470588235294	34.705882352941174	27.705882352941178	5.135490449714916	-9584	0.8312064118929892
jhotdraw-5.4.2	17	398	27.566089192273928	1	103	2175	4.176470588235294	35.411764705882355	28.11764705882353	5.314195203349364	-9855	0.8181720042378143
jhotdraw-6.0.1	17	398	27.566089192273928	1	103	2175	4.176470588235294	35.411764705882355	28.11764705882353	5.314195203349364	-9855	0.8181720042378143
jhotdraw-7.0.6	16	320	33.95585369269929	3	133	1500	2.1875	19.375	9.8125	5.6117780217384645	-10738	0.7829109662778221
jhotdraw-7.0.7	16	333	34.55650942658995	3	133	1574	2.1875	20.6875	10.1875	5.496454159474887	-11288	0.7856640827670438
jhotdraw-7.0.8	16	379	36.68909706915666	1	145	1763	2.3125	22.1875	11.25	6.2321205862935125	-13256	0.8230616049176295
jhotdraw-7.0.9	17	431	42.313870867838	1	173	2082	2.5294117647058822	24.294117647058822	12.176470588235293	6.919949975154257	-18325	0.8114069327463774
jhotdraw-7.1.0	47	1149	45.660080106656736	4	258	4051	2.276595744680851	15.957446808510639	8.957446808510639	25.509029424882453	-58300	0.7778362150476019
jhotdraw-7.2.0	20	391	42.81643959976121	4	193	2007	2.15	16.15	9.7	7.847888323485135	-19637	0.798795457117996
jhotdraw-7.3.0	56	1231	43.75805683831614	7	258	4533	2.625	15.767857142857142	8.821428571428571	26.135391796871787	-61912	0.8340445884323203
jhotdraw-7.3.1	56	1233	43.82533964966117	7	258	4543	2.642857142857143	15.821428571428571	8.857142857142858	26.216799857428803	-62106	0.8336023814344826
